codigo;nome;grupo_id;grupo_codigo;grupo_nome;habilitado;classificacao;setup;retrabalho;retorno_automatico;parada_geral;oculto;requer_detalhe;requer_comentario;acao_padrao
"00009";"BUSCANDO ENGENHEIRO";"7";"0006";"PARADA NÃO PLANEJADA";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1"
"0001";"PRODUÇÃO";"1";"0001";"PRODUÇÃO";"1";"5";"0";"0";"1";"1";"0";"0";"0";"1"
"00010";"BUSCANDO PEÇAS";"7";"0006";"PARADA NÃO PLANEJADA";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1"
"0004";"FORA DE TURNO";"2";"0002";"PARADA PROGRAMADA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0009";"PAUSA PARA CAFÉ";"2";"0002";"PARADA PROGRAMADA";"1";"3";"0";"0";"1";"1";"0";"0";"0";"1"
"0010";"MANUTENÇÃO PREVENTIVA";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0011";"MANUTENÇÃO CORRETIVA";"3";"0003";"MANUTENÇÃO";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0012";"Manutenção Elétrica Corretiva";"3";"0003";"MANUTENÇÃO";"0";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0015";"PEÇA NÃO CONFORME";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0018";"GINASTICA LABORAL";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0020";"BANHEIRO";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0021";"AGUARDANDO SISTEMA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0022";"TROCA DE ARAME";"8";"0007";"SUBSTITUIÇÃO DE MATERIAIS";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0023";"AJUSTE DOBRADEIRA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0026";"TROCA DE GÁS";"8";"0007";"SUBSTITUIÇÃO DE MATERIAIS";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0027";"PROBLEMA NA TOCHA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0028";"PROBLEMA MÁQUINA DE SOLDA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0029";"AGUARDANDO PONTE";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0030";"RETRABALHO";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0032";"REUNIÃO";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0033";"FALTA NO EXPEDIENTE";"2";"0002";"PARADA PROGRAMADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0034";"AGUARDANDO LAVAÇÃO/PINTURA";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0035";"AGUARDANDO SEPARAÇÃO ALMOX";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0036";"AGUARDANDO QUALIDADE";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0037";"AGUARDANDO SETOR SOLDA";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0038";"SAIDA ANTECIPADA";"2";"0002";"PARADA PROGRAMADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0039";"AGUARDANDO MÁQUINA PRODUÇÃO";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0040";"AGUARDANDO RETRABALHO PRODUÇÃO";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"1";"0";"1";"0";"0";"0";"1"
"0041";"FALTA DE COMPONENTES";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0042";"INATIVIDADE";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0043";"TROCA DE EPI";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0044";"ATIVIDADE S/ OP";"1";"0001";"PRODUÇÃO";"1";"5";"0";"0";"0";"1";"0";"0";"1";"1"
"0045";"VISITAS";"2";"0002";"PARADA PROGRAMADA";"1";"5";"0";"0";"0";"1";"0";"0";"0";"1"
"0046";"FOLGA";"2";"0002";"PARADA PROGRAMADA";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0047";"AGUARDANDO LOGISTICA";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0048";"TRANSFORMAÇAO DE MAQUINA";"4";"0004";"PARADAS DA FABRICA";"1";"2";"0";"0";"0";"1";"0";"0";"1";"1"
"0049";"AFASTAMENTO";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0050";"TREINAMENTO";"4";"0004";"PARADAS DA FABRICA";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0051";"PROTOTIPO";"1";"0001";"PRODUÇÃO";"1";"5";"0";"0";"0";"1";"0";"0";"0";"1"
"0052";"ATRASO";"1";"0001";"PRODUÇÃO";"0";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0053";"AGUARDANDO ETAPA  ANTERIOR";"4";"0004";"PARADAS DA FABRICA";"1";"4";"0";"0";"0";"1";"0";"0";"1";"1"
"0054";"SEPARAÇÃO";"2";"0002";"PARADA PROGRAMADA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0055";"ENDEREÇAMENTO";"2";"0002";"PARADA PROGRAMADA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0056";"ORGANIZAÇÃO DE SETOR";"2";"0002";"PARADA PROGRAMADA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0057";"LUBRIFICAÇÃO";"1";"0001";"PRODUÇÃO";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0058";"AGUAR. EMPILHADEIRA";"4";"0004";"PARADAS DA FABRICA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0059";"AGUARDANDO PROGRAMAÇÃO CNC";"2";"0002";"PARADA PROGRAMADA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0060";"AGUARDANDO LANÇAMENTO";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0061";"FÉRIAS";"2";"0002";"PARADA PROGRAMADA";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"0062";"INTERVALO";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0065";"AGUARDANDO SERRA";"7";"0006";"PARADA NÃO PLANEJADA";"0";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0067";"REFORMA";"5";"0005";"EM ANDAMENTO";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1"
"0068";"INVENTARIO";"2";"0002";"PARADA PROGRAMADA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0072";"AGUARDANDO TRATOR";"7";"0006";"PARADA NÃO PLANEJADA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0073";"TRABALHO EXTERNO";"5";"0005";"EM ANDAMENTO";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0074";"Montagem P/ EST. 08";"7";"0006";"PARADA NÃO PLANEJADA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0075";"EMERGENCIAS";"7";"0006";"PARADA NÃO PLANEJADA";"0";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0076";"AGUARDANDO EMPILHADEIRA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0077";"Falta de Apontamento";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0078";"SEM DEMANDA";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0079";"AGUARD. PROGRAMAÇÃO";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0080";"AGUAR. PEÇAS UNI 4";"4";"0004";"PARADAS DA FABRICA";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"0081";"MONT. KIT EST 08";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"0082";"MONT. CAMPO BELO";"2";"0002";"PARADA PROGRAMADA";"1";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"0083";"AGUAR.DEF. ASSIS";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0084";"AGUAR.DEF.ENGENHARIA";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
"0085";"DESMONTAGEM PROTOTIPO";"1";"0001";"PRODUÇÃO";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"0157";"PRODUÇÃO D";"1";"0001";"PRODUÇÃO";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1"
"031";"AGUARDANDO OP";"7";"0006";"PARADA NÃO PLANEJADA";"1";"1";"0";"0";"0";"1";"0";"0";"1";"1"
"04545";"TROCA DE SERRA";"7";"0006";"PARADA NÃO PLANEJADA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"1002";"Parada não Identificada";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1"
"1003";"Fim de Parada";"1";"0001";"PRODUÇÃO";"1";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"1005";"Set-Up";"1";"0001";"PRODUÇÃO";"1";"4";"1";"0";"1";"1";"0";"0";"0";"1"
"1006";"_";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1"
"1007";"Falta de Energia";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1"
"1008";"AGUARDANDO LANÇAMENTO";"1";"0001";"PRODUÇÃO";"1";"4";"0";"0";"1";"1";"1";"0";"0";"1"
"1013";"ATRASO FORNECEDOR";"7";"0006";"PARADA NÃO PLANEJADA";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1"
