codigo;nome;fonte
"AC VX";"ACABAMENTO VELLOX";"PC Factory D0021 - Recurso"
"ACOPLA";"ACOPLAMENTO";"PC Factory D0021 - Recurso"
"ALMOX";"SEPARAÇÃO ALMOX PM";"PC Factory D0021 - Recurso"
"ALMOX1";"SEPARAÇÃO ALMOX PC";"PC Factory D0021 - Recurso"
"ALMOX4";"ALMOX F IV";"PC Factory D0021 - Recurso"
"ALMOXF4";"ALMOX4";"PC Factory D0021 - Recurso"
"ALMOXS";"SEPARAÇÃO ALMOX SOLDA";"PC Factory D0021 - Recurso"
"BICOS";"BICOS LATERAIS / REGULAGEM";"PC Factory D0021 - Recurso"
"BICOS.";"PRE MONTAGEM BICOS";"PC Factory D0021 - Recurso"
"BRACO";"PRE MONTAGEM BRAÇOS";"PC Factory D0021 - Recurso"
"BRACOS";"BRAÇOS";"PC Factory D0021 - Recurso"
"C X10";"SOLDA CENTRO X10";"PC Factory D0021 - Recurso"
"CAB-PC";"TESTE MECANICO PC";"PC Factory D0021 - Recurso"
"CAB102";"CABEÇALHO 102";"PC Factory D0021 - Recurso"
"CAB210";"CABEÇALHO 210";"PC Factory D0021 - Recurso"
"CARAC";"PRE MONTAGEM CARACOL";"PC Factory D0021 - Recurso"
"CARREG";"DISPOSITIVO DE CARREGAMENTO";"PC Factory D0021 - Recurso"
"CG- FIL05";"SOLDA CARRETAS FILIAL 05";"PC Factory D0021 - Recurso"
"CG.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"CG.CHA";"MONTAGEM CHASSI";"PC Factory D0021 - Recurso"
"CG.LON";"MONTAGEM LONA";"PC Factory D0021 - Recurso"
"CG.PRE";"PRE MONT REVESTIME";"PC Factory D0021 - Recurso"
"CG.SOB";"MONTAGEM SOBRE CAIXA";"PC Factory D0021 - Recurso"
"CG.TAN";"MONT TANQUE/SOBRECX";"PC Factory D0021 - Recurso"
"CG.TRA";"MONT TRANSM/HIDRAU";"PC Factory D0021 - Recurso"
"CG.TUB";"MONTAGEM TUBOS";"PC Factory D0021 - Recurso"
"CGTEST";"TESTE PRODU/LUBRIF";"PC Factory D0021 - Recurso"
"CHAPAS";"CHAPA / FECHAMENTO SENSOR";"PC Factory D0021 - Recurso"
"CHARLES";"CHARLES";"PC Factory D0021 - Recurso"
"CNC-01";"CNC ROMI 01";"PC Factory D0021 - Recurso"
"CNC-02";"CNC EUROSTEC 01";"PC Factory D0021 - Recurso"
"CS DOS";"MONT DOSADOR";"PC Factory D0021 - Recurso"
"CS.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"CS.BRO";"MONT BRACOS E ROLOS";"PC Factory D0021 - Recurso"
"CS.CHA";"MONT CHASSI E RODADO";"PC Factory D0021 - Recurso"
"CS.HID";"MONT HIDRAULICA/TURBINA";"PC Factory D0021 - Recurso"
"CS.PLO";"MONT PLATAFORMA E LONA";"PC Factory D0021 - Recurso"
"CS.TAN";"MONTAGEM TANQUE";"PC Factory D0021 - Recurso"
"CSTEST";"TESTE PROD/LUBRIF";"PC Factory D0021 - Recurso"
"D01DSR";"PRE MONTAGEM TERRUS DSR";"PC Factory D0021 - Recurso"
"D1DSR";"PRE MONT TERRUS DSR";"PC Factory D0021 - Recurso"
"D01DUO";"PRE MONTAGEM TERRUS DUO";"PC Factory D0021 - Recurso"
"D01DXS";"PRE MONTAGEM TERRUS DXS";"PC Factory D0021 - Recurso"
"D01PRO";"SOLDAGEM PROTOTIPO";"PC Factory D0021 - Recurso"
"D02CHT";"MONTAGEM CHAPAS TANQUE";"PC Factory D0021 - Recurso"
"D02DSR";"SOLDAGEM TERRUS DUO";"PC Factory D0021 - Recurso"
"D2DSR";"TERRUS DSR";"PC Factory D0021 - Recurso"
"D02DUO";"SOLDAGEM TERRUS DUO";"PC Factory D0021 - Recurso"
"D02DXS";"SOLDAGEM TERRUS DXS";"PC Factory D0021 - Recurso"
"D04CHA";"SOLDAGEM CHASSI CARRETA";"PC Factory D0021 - Recurso"
"D05CAB";"SOLDAGEM CABECALHO CARRETA";"PC Factory D0021 - Recurso"
"D06EIX";"SOLDAGEM EIXO CARRETA";"PC Factory D0021 - Recurso"
"D14CHA";"SOLDAGEM CHASSI 14";"PC Factory D0021 - Recurso"
"D14CHT";"MONTAGEM CHAPAS TANQUE 14";"PC Factory D0021 - Recurso"
"D14EIX";"SOLDAGEM EIXO CARRETA 14";"PC Factory D0021 - Recurso"
"D14STQ";"SOLDAGEM TANQUE CARRETA 14";"PC Factory D0021 - Recurso"
"D01510";"PRE MONT CHASSI FRONTAL 510";"PC Factory D0021 - Recurso"
"D02510";"SOLDAGEM CHASSI 510";"PC Factory D0021 - Recurso"
"D03510";"SOLDAGEM ARTICULAÇÃO 510";"PC Factory D0021 - Recurso"
"D04510";"PRE MONTAGEM CENTRAL BOSCH 510";"PC Factory D0021 - Recurso"
"D05510";"SOLDAGEM CENTRAL BOSCH 510";"PC Factory D0021 - Recurso"
"D06510";"SOLDAGEM EIXO 510";"PC Factory D0021 - Recurso"
"D07510";"SOLDAGEM LAMINA 510";"PC Factory D0021 - Recurso"
"DC BA";"MON BAS GAR DI";"PC Factory D0021 - Recurso"
"DC CSS";"PRE MONT CAI SS";"PC Factory D0021 - Recurso"
"DC PRE";"PRE MONT BASTAO";"PC Factory D0021 - Recurso"
"DC ROL";"MONT ROLOS E BRAÇOS";"PC Factory D0021 - Recurso"
"DC SHI";"MONT SEEDING";"PC Factory D0021 - Recurso"
"DC.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"DC.CHA";"MONTAGEM CHASSI";"PC Factory D0021 - Recurso"
"DC.DCO";"MONT DISCO/COLUNA";"PC Factory D0021 - Recurso"
"DC.HAS";"MONTAGEM HASTES";"PC Factory D0021 - Recurso"
"DC.NLT";"MONT. NIVELADOR LAT";"PC Factory D0021 - Recurso"
"DC.PRE";"PRE MONTAGEM HASTES";"PC Factory D0021 - Recurso"
"DC.PST";"PRE MON SIST ARRASTO";"PC Factory D0021 - Recurso"
"DC.ROL";"MONTAGEM ROLOS";"PC Factory D0021 - Recurso"
"DC.SHD";"MONT SIST HIDRAULICO";"PC Factory D0021 - Recurso"
"DC.STH";"MONT SIST ARRAS/HIDR";"PC Factory D0021 - Recurso"
"DCTEST";"TESTE PROD/LUBRIF";"PC Factory D0021 - Recurso"
"DECK";"ATUADOR";"PC Factory D0021 - Recurso"
"DECKPC";"PRE MONTAGEM DECK";"PC Factory D0021 - Recurso"
"DESM1";"DESMONTAGEM 1";"PC Factory D0021 - Recurso"
"DESM2";"DESMONTAGEM";"PC Factory D0021 - Recurso"
"DISPEX";"DISPOSITIVO EXPORTAÇÃO";"PC Factory D0021 - Recurso"
"DISPG";"DISPOSITIVO GENERICO";"PC Factory D0021 - Recurso"
"DISPOEX";"DISPOSITIVOS EXP";"PC Factory D0021 - Recurso"
"DISPOG";"DISPOSITIVO GENERICO";"PC Factory D0021 - Recurso"
"DISPOS";"REFORMA DISPOSITIVOS";"PC Factory D0021 - Recurso"
"DOBRA1";"GASPARINI";"PC Factory D0021 - Recurso"
"DOBRA2";"HG2204";"PC Factory D0021 - Recurso"
"DOBRA3";"EGB1303";"PC Factory D0021 - Recurso"
"ESTAMP";"ESTAMPAGEM";"PC Factory D0021 - Recurso"
"ESTEIR";"ESTEIRAS";"PC Factory D0021 - Recurso"
"ESTIC";"ESTICADORES";"PC Factory D0021 - Recurso"
"ESTUFA";"SECAGEM PINTURA";"PC Factory D0021 - Recurso"
"FRENTE";"FRONTAL LINHAS";"PC Factory D0021 - Recurso"
"FRESA1";"EUROSTEC FTV3I";"PC Factory D0021 - Recurso"
"HASTE";"SOLDA HASTE";"PC Factory D0021 - Recurso"
"HIDRA";"HIDRAULICA E ELETRICA";"PC Factory D0021 - Recurso"
"INSPE1";"INSPEÇÃO QUALIDADE";"PC Factory D0021 - Recurso"
"INSPE2";"INSPEÇÃO PINTURA";"PC Factory D0021 - Recurso"
"INSPEC";"INSPEÇÃO QUALIDADE";"PC Factory D0021 - Recurso"
"JATO";"JATEAMENTO";"PC Factory D0021 - Recurso"
"LASER1";"CORTE LASER";"PC Factory D0021 - Recurso"
"LINHAS";"MONTAGEM LINHAS";"PC Factory D0021 - Recurso"
"LIXAD";"LIXADEIRA CHANFRO";"PC Factory D0021 - Recurso"
"MESAS";"MESAS X10";"PC Factory D0021 - Recurso"
"ML5";"MONTAGEM.LAMINA.510";"PC Factory D0021 - Recurso"
"MOLINE";"MOLINETE PC";"PC Factory D0021 - Recurso"
"MONTAGEM PM05";"MONTAGEM PM 05";"PC Factory D0021 - Recurso"
"MPRT1";"MONTAGEM";"PC Factory D0021 - Recurso"
"MPRT2";"MONTAGEM 2";"PC Factory D0021 - Recurso"
"MPRT3";"MONTAGEM";"PC Factory D0021 - Recurso"
"MT NT";"MONT SOLDA TILLER";"PC Factory D0021 - Recurso"
"MT VX";"MONTAGEM VELLOX";"PC Factory D0021 - Recurso"
"MT.ADE";"MONT.ADESIVOS PRO";"PC Factory D0021 - Recurso"
"MT.CHA";"MONT.CHASSI PRO";"PC Factory D0021 - Recurso"
"MT.ELE";"MONT.ELETRICA PRO";"PC Factory D0021 - Recurso"
